instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1
Air Force Institute of Technology-Graduate School of Engineering & Management,Wright-Patterson AFB,OH,45433-7765,39.782221,-84.082618,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1129,45433,,,,,master only (1)
Alabama A & M University,Normal,AL,35762,34.783368,-86.568502,0.8965,475,455,18,17,17,NULL,959,5090,14694,15379,17694,17883,20483,NULL,NULL,NULL,NULL,NULL,23445,0.2866,31000,16000,15159,14463,0.5640301318,0.0091023227,32362.826114,49720.22,28704,884,35762,.85677999,.67628998,1.12202,.74225998,matched (3)
Alabama College of Osteopathic Medicine,Dothan,AL,36303-2251,31.206294,-85.340805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,705,36303,,,,,master only (1)
Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,0.9888,485,462,17,17,17,NULL,938,3603,19581,19396,19853,19620,17559,NULL,NULL,NULL,NULL,NULL,21892,0.3177,31000,17827,15875,16500,0.6134185304,0.0079872204,31684.382188,46065.2,25949,458,36104,.77916002,.67089999,1.04811,.73655999,matched (3)
Alaska Bible College,Palmer,AK,99645,61.598553,-149.111972,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL,NULL,NULL,NULL,NULL,15630,NULL,NULL,NULL,NULL,25250,0.625,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,52437.533333,NULL,NULL,NULL,99645,,,,,master only (1)
Alaska Pacific University,Anchorage,AK,99508,61.190968,-149.804168,0.9065,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,NULL,NULL,NULL,NULL,NULL,19478,21907,18220,13964,26714,34350,0.5556,22272,12500,12000,14998,0.6301369863,0.1575342466,59045.794521,70542.98,33401,181,99508,,,,,matched (3)
Albany College of Pharmacy and Health Sciences,Albany,NY,12208-3492,42.650371,-73.779063,0.7519,595,620,28,NULL,NULL,NULL,1238,683,NULL,NULL,NULL,NULL,NULL,24379,23579,28351,31966,34166,50326,0.7465,27000,24992,25250,26225,0.6031746032,PrivacySuppressed,92607.088435,60872.01,115752,432,12208,1.73133,1.3993599,1.80083,1.40399,matched (3)
Albany Law School,Albany,NY,12208,42.651818,-73.777495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,64604.23,NULL,566,12208,,,,,master only (1)
Albany Medical College,Albany,NY,12208-3479,42.65382,-73.777289,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,71320.04,NULL,835,12208,,,,,master only (1)
Albany State University,Albany,GA,31705,31.56928,-84.141825,0.7302,420,400,17,15,16,NULL,858,5839,12480,13170,15842,17254,18489,NULL,NULL,NULL,NULL,NULL,19309,0.2605,26487,12250,12250,12000,0.6648385131,0.0773918342,34018.790981,52181.09,29345,407,31705,.87614,.79622,1.19769,.91676003,matched (3)
Albert Einstein College of Medicine,Bronx,NY,10461-1900,40.852847,-73.846327,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1048,10461,,,,,master only (1)
Albertus Magnus College,New Haven,CT,06511-1189,41.332519,-72.923848,0.8126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1076,NULL,NULL,NULL,NULL,NULL,26625,25377,21958,27663,29120,49375,0.4904,30836,25245,27000,21500,0.694684796,0.129789864,46249.928307,65065.75,44705,296,6511,1.44646,,1.67296,,matched (3)
Albion College,Albion,MI,49224,42.245049,-84.745639,0.7444,525,520,23,23,22,8,1062,1497,NULL,NULL,NULL,NULL,NULL,10452,12732,14717,20128,27565,62041,0.677,27000,14875,20375,19500,0.4957627119,PrivacySuppressed,71632.281073,71425.7,43913,NULL,49224,1.68147,1.37547,1.79809,1.42228,matched (3)
