instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1,state,county,v_tier,v_ipeds_enrollment_2013,v_sticker_price_2013,v_sat_avg_2013,v_scorecard_netprice_2013,v_black_share_fall_2000,v_hisp_share_fall_2000,v_pct_arthuman_2000,v_pct_business_2000,v_pct_health_2000,v_pct_multidisci_2000,v_pct_publicsocial_2000,v_pct_stem_2000,v_pct_socialscience_2000,v_pct_tradepersonal_2000,_merge
Ashland University,Ashland,OH,44805,40.861755,-82.321061,0.7435,555,549,22,21,22,NULL,1105,2462,NULL,NULL,NULL,NULL,NULL,19728,14311,20412,22472,23527,33775,0.6209,25000,18750,19500,20000,0.4403549129,0.1114032205,37594.243181,64491.65,40173,1299,44805,1.6226701,1.24547,1.72823,1.2674,matched (3),OH,Ashland,6,3639,19852,1030,19027,.086555518,.012770486,2.3684211,43.421051,4.6052632,2.6315789,7.3684211,4.0789475,35.526314,0,matched (3)
Ashtabula County Technical and Career Campus,Jefferson,OH,44047,41.746864,-80.733023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,129,9669,9869,6035,14610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8064516129,0.264516129,23656.412903,49021.18,31232,NULL,44047,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Asian-American International Beauty College,Westminster,CA,92683,33.759524,-117.991643,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8770949721,0.6536312849,11844.396648,64988.38,15808,NULL,92683,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Asnuntuck Community College,Enfield,CT,06082,41.998409,-72.570177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,981,6450,6921,7363,10561,12543,NULL,NULL,NULL,NULL,NULL,12543,NULL,5625,5250,5250,5500,0.3714773698,0.1204099061,27026.583262,75069.81,34536,NULL,6082,1.47993,1.32137,1.62161,1.31866,matched (3),CT,Hartford,9,1715,3866,,5242,.10432433,.042702701,0,39.086292,9.1370554,38.578682,2.0304568,11.167513,0,0,matched (3)
Aspen Beauty Academy of Laurel,Laurel,MD,20724,39.099633,-76.822219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL,NULL,NULL,NULL,NULL,11753,NULL,NULL,15666,NULL,NULL,NULL,16438,9833,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1162790698,22393.651163,NULL,13076,NULL,20724,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aspen University,Phoenix,AZ,85040,39.68614,-104.939111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6373,NULL,NULL,NULL,NULL,NULL,10383,13779,15760,NULL,NULL,16125,NULL,12135,7811,6138,8750,0.7810218978,0.3309002433,24920.89781,NULL,30099,3164,85040,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Assabet Valley Regional Technical School,Marlborough,MA,01752,42.36775,-71.567281,0.6667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,11517,14952,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9500,PrivacySuppressed,9500,PrivacySuppressed,PrivacySuppressed,0.3134328358,34489.641791,72785.57,NULL,NULL,1752,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Associated Barber College of San Diego,San Diego,CA,92101-4210,32.719318,-117.159908,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,18527,16916,17828,NULL,NULL,NULL,NULL,16500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1197183099,0.176056338,18319.739437,NULL,NULL,NULL,92101,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Associated Beth Rivkah Schools,Brooklyn,NY,11225-0000,40.665544,-73.950704,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,258,NULL,NULL,NULL,NULL,NULL,15501,15969,16869,17935,NULL,23280,0.8974,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.0628930818,31114.666667,46816.11,13827,NULL,11225,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Associated Technical College-Los Angeles,Los Angeles,CA,90017-1604,34.056102,-118.272364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL,NULL,NULL,NULL,NULL,21980,23068,23563,NULL,NULL,NULL,NULL,9500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5644983462,0.1179713341,8382.4641676,41078.15,18830,NULL,90017,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Associated Technical College-San Diego,San Diego,CA,92108-1630,32.773178,-117.135196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,21802,NULL,NULL,NULL,NULL,NULL,NULL,9500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2469135802,0.1111111111,6578.2407407,50973.76,19944,NULL,92108,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Assumption College for Sisters,Denville,NJ,07834,40.905857,-74.490693,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7834,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Assumption University,Worcester,MA,01609-1296,42.294226,-71.828991,0.8092,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2006,NULL,NULL,NULL,NULL,NULL,22451,24748,26074,28799,31932,57238,0.732,27000,24158,25857,26669,0.597,0.028,112625.524,80096.93,46259,421,1609,1.75449,1.49641,1.86958,1.55288,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Atelier Esthetique Institute of Esthetics,New York,NY,10001,40.746376,-73.995669,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250,NULL,NULL,NULL,NULL,NULL,10645,12244,11092,14151,14151,NULL,NULL,5846,5846,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.2222222222,26596.37931,NULL,21053,NULL,10001,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Atenas College,Manati,PR,00674-0000,18.429776,-66.488422,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,558,NULL,NULL,NULL,NULL,NULL,6166,6645,10239,NULL,NULL,13321,0.5464,5880,6649,PrivacySuppressed,PrivacySuppressed,0.6946808511,0.0521276596,9099.1234043,17009.97,16853,NULL,674,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Athena Career Academy,Toledo,OH,43615,41.614633,-83.665339,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,338,NULL,NULL,NULL,NULL,NULL,22456,22568,24413,25335,NULL,NULL,NULL,14120,14120,PrivacySuppressed,PrivacySuppressed,0.9444444444,0.1666666667,21405.505848,NULL,45187,NULL,43615,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Athenaeum of Ohio,Cincinnati,OH,45230-2091,39.082926,-84.371927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116,45230,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Athens State University,Athens,AL,35611,34.806793,-86.964698,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2629,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19250,16375,14859,14000,0.705078125,0.361328125,38479.38737,50752.1,38536,179,35611,1.32309,,1.46812,,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Athens Technical College,Athens,GA,30601,33.990183,-83.339598,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3411,4035,5193,6607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11597,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6581352834,0.1521937843,21858.073583,47667.48,27889,NULL,30601,.60043001,.74150997,.94595999,.91290998,matched (3),GA,Clarke,9,4563,2684,,5389,.19767019,.014197306,0,27.002289,53.775745,0,2.5171626,.45766589,0,16.247139,matched (3)
Atlanta Institute of Music and Media,Duluth,GA,30096,33.961164,-84.105311,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,270,NULL,NULL,NULL,NULL,NULL,17601,18314,19557,19735,21747,NULL,NULL,14798,7334,7383,7333,0.0899470899,0.0582010582,55151.687831,71146.55,24651,NULL,30096,,,,,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Atlanta Metropolitan State College,Atlanta,GA,30310-4448,33.70893,-84.404659,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1562,6670,7439,9915,11752,12927,NULL,NULL,NULL,NULL,NULL,12927,0.2377,13220,6000,5500,5500,0.6287037037,0.050462963,21715.586111,53064.92,25275,NULL,30310,.83534998,,.91206002,,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Atlanta School of Massage,Atlanta,GA,30338,33.922131,-84.311332,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,303,NULL,NULL,NULL,NULL,NULL,21448,21453,23199,25394,NULL,NULL,NULL,7917,7917,7821,6222,0.794661191,0.135523614,25110.909651,72837.79,22953,NULL,30338,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Atlanta Technical College,Atlanta,GA,30310-4446,33.712009,-84.404995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2810,-836,-75,3086,7705,9429,NULL,NULL,NULL,NULL,NULL,9429,NULL,10908,6334,6000,4292,0.6807950892,0.0973399591,19281.699503,50134.52,23802,NULL,30310,.59038001,,.75926,,matched (3),GA,Fulton,9,4859,2740,,2891,.78363383,.015950069,1.1594203,29.130434,16.376812,0,3.1884058,6.3768115,0,43.768116,matched (3)
Atlanta's John Marshall Law School,Atlanta,GA,30303,33.793394,-84.387898,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,74084,299,30303,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Atlantic Cape Community College,Mays Landing,NJ,08330-2699,39.462081,-74.680019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4222,8775,8899,10595,13169,14175,NULL,NULL,NULL,NULL,NULL,15170,NULL,9600,9012,6500,6865,0.5831151832,0.0827879581,30218.320026,58046.94,27945,NULL,8330,1.03369,.91657001,1.38624,1.11136,matched (3),NJ,Atlantic,9,7254,5802,,15472,.1392871,.078457959,0,25.369978,13.530656,45.665962,7.3995771,1.9027485,0,6.1310782,matched (3)
Atlantic Institute of Oriental Medicine,Fort Lauderdale,FL,33301-3510,26.121964,-80.142235,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8374.8461538,PrivacySuppressed,NULL,105,33301,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Atlantic Technical College,Coconut Creek,FL,33063-3902,26.24278,-80.192271,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2288,9158,9277,11611,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.4945454545,0.1090909091,19320.887273,53779.01,31994,NULL,33063,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Atlantic University College,Guaynabo,PR,00970,18.357395,-66.111714,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1489,NULL,NULL,NULL,NULL,NULL,2442,5273,7862,NULL,NULL,9708,0.3708,5500,3500,PrivacySuppressed,PrivacySuppressed,0.2654867257,0.0165929204,18914.098451,26906.77,19010,95,970,,,,,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Atlantis University,Miami,FL,33132,25.788978,-80.18942,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121,NULL,NULL,NULL,NULL,NULL,19067,20370,20867,21642,NULL,24942,0.9425,23773,12201,PrivacySuppressed,PrivacySuppressed,0.2413793103,0.3448275862,23564.586207,NULL,NULL,429,33132,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Auburn Career Center,Concord Twp,OH,44077,41.649238,-81.243798,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,202,20083,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6555,6433,PrivacySuppressed,PrivacySuppressed,0.3141025641,0.1794871795,34060.705128,61949.15,38879,NULL,44077,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Auburn University,Auburn,AL,36849,32.599378,-85.488258,0.8507,620,620,28,29,26,8,1302,24368,17866,19064,23468,25389,26300,NULL,NULL,NULL,NULL,NULL,32196,0.787,21500,18524,18000,16750,0.531504671,0.0222619758,92148.626516,59005.4,49695,6232,36849,1.5046999,1.47306,1.75911,1.58979,matched (3),AL,Lee,5,19799,10200,1162.5,13191,.069409579,.0082942266,8.3452892,29.387854,6.2171211,0,1.1956002,30.535629,24.318508,0,matched (3)
Auburn University at Montgomery,Montgomery,AL,36117-3596,32.36736,-86.177544,0.9555,528,473,21,21,19,NULL,1061,4301,12134,13246,15400,17204,16341,NULL,NULL,NULL,NULL,NULL,20225,0.304,25000,11750,13476,11250,0.6929480901,0.0729676787,41987.986288,50723.81,33326,837,36117,1.11909,1.05334,1.39969,1.2639199,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Augsburg University,Minneapolis,MN,55454,44.966307,-93.240436,0.7312,527,530,20,19,20,7,1050,2487,NULL,NULL,NULL,NULL,NULL,20989,20943,23244,25949,30107,54069,0.5928,25000,19500,18781,19333,0.5464480874,0.0546448087,64824.354411,72224.74,44044,834,55454,1.64125,1.21741,1.73909,1.3249201,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Augusta School of Massage,Evans,GA,30809,33.529159,-82.135503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,8373,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,22293.6,NULL,21759,NULL,30809,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Augusta Technical College,Augusta,GA,30906,33.418992,-82.048439,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3455,9235,9056,10880,10925,NULL,NULL,NULL,NULL,NULL,NULL,17614,NULL,5891,6334,PrivacySuppressed,PrivacySuppressed,0.6132615281,0.1561763716,19209.205991,48434.37,27020,NULL,30906,.44824001,.71372002,.78118002,.93624002,matched (3),GA,Richmond,9,4379,2614,,8506,.50015312,.018376723,0,22.280334,28.661087,0,.20920502,4.8117156,0,44.037659,matched (3)
Augusta University,Augusta,GA,30912,33.47037,-81.989071,0.8288,570,545,23,23,22,NULL,1121,5322,9740,10221,13276,15102,15414,NULL,NULL,NULL,NULL,NULL,20115,0.4676,21385,14360,12803,12500,0.673245614,0.1,52193.71886,NULL,35634,3246,30912,1.23471,1.22475,1.5082999,1.38517,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Augustana College,Rock Island,IL,61201-2296,41.502365,-90.55057,0.5735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2374,NULL,NULL,NULL,NULL,NULL,16956,18937,19064,25195,27627,55924,0.7658,27000,26000,24500,26000,0.5883977901,PrivacySuppressed,101517.56354,77348.81,46446,12,61201,1.72979,1.47211,1.85076,1.52247,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Augustana University,Sioux Falls,SD,57197-0001,43.525148,-96.736975,0.7138,603,620,25,25,25,NULL,1220,1710,NULL,NULL,NULL,NULL,NULL,19304,17585,22216,25658,26997,47710,0.7222,25000,20450,20500,20750,0.6524590164,0.0180327869,92395.965574,60196.68,44200,284,57197,1.79167,1.3347501,1.8571399,1.36838,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Auguste Escoffier School of Culinary Arts-Austin,Austin,TX,78752,30.326455,-97.717865,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,610,NULL,NULL,NULL,NULL,NULL,21855,21718,23597,25374,25394,NULL,NULL,16000,12000,12000,12000,0.4991974318,0.0866773676,35994.942215,63109.94,29315,NULL,78752,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Auguste Escoffier School of Culinary Arts-Boulder,Boulder,CO,80305,39.983475,-105.250075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7600,NULL,NULL,NULL,NULL,NULL,9399,10948,11482,12840,13086,NULL,NULL,9150,5741,7973,9236,0.512195122,0.2322880372,36104.447154,NULL,31371,NULL,80305,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aultman College of Nursing and Health Sciences,Canton,OH,44710-1797,40.796186,-81.404053,0.6198,NULL,NULL,22,20,19,6,1105,346,NULL,NULL,NULL,NULL,NULL,20073,23514,13883,26746,26791,28163,0.25,19000,15250,15250,12000,0.9016393443,0.1885245902,45322.938525,56996.46,46175,NULL,44710,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aurora University,Aurora,IL,60506-4892,41.753631,-88.349023,0.8395,530,530,21,20,21,NULL,1066,4123,NULL,NULL,NULL,NULL,NULL,13571,13273,15645,19828,21803,35658,0.5797,21250,16500,15750,15739,0.6651312759,0.0925840626,60291.360663,77796.79,44368,2107,60506,1.6462801,1.33553,1.75451,1.44322,matched (3),IL,Kane,6,3246,21320,1005,13607,.15349545,.086626142,1.9480519,24.350649,12.662337,2.5974026,16.883118,9.090909,32.467533,0,matched (3)
Austin Career Institute,Austin,TX,78757-7066,30.36933,-97.726714,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91,NULL,NULL,NULL,NULL,NULL,18633,19113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78757,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Austin College,Sherman,TX,75090-4400,33.646345,-96.596331,0.4928,610,600,26,26,23,NULL,1220,1283,NULL,NULL,NULL,NULL,NULL,17365,15894,18555,23935,28618,56377,0.7087,24170,18125,19500,17270,0.5053304904,PrivacySuppressed,79117.147122,74623.54,43834,17,75090,1.70818,1.49409,1.81273,1.533,matched (3),TX,Grayson,4,1207,34840,1195,17558,.045986623,.061036788,23.353294,10.479042,0,3.2934132,0,25.4491,37.425152,0,matched (3)
Austin Community College District,Austin,TX,78752,30.322744,-97.712505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28882,3264,4907,9178,11553,11782,NULL,NULL,NULL,NULL,NULL,11821,0.1155,10000,7000,5500,5500,0.558947788,0.1207652451,34292.140295,66212.06,32890,NULL,78752,1.16824,.93821001,1.45328,1.14587,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Austin Graduate School of Theology,Austin,TX,78752,30.343842,-97.711751,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,43247.9,66069.18,NULL,8,78752,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Austin Kade Academy,Idaho Falls,ID,83404-5540,43.482859,-112.001128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,NULL,NULL,NULL,NULL,NULL,15818,17809,18682,19260,NULL,NULL,NULL,6333,6333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.3178294574,24637.585271,NULL,15090,NULL,83404,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Austin Peay State University,Clarksville,TN,37044,36.533319,-87.354081,0.9115,541,513,22,21,20,NULL,1104,8195,12265,13774,16859,19290,19300,NULL,NULL,NULL,NULL,NULL,23931,0.4831,21250,12500,12500,12000,0.5990892892,0.207285686,42445.253415,52472.51,34105,1185,37044,1.4090199,1.02096,1.5497299,1.09084,matched (3),TN,Montgomery,5,9550,7168,955,13508,.18954641,.047011115,9.1194973,27.568134,8.5953875,19.916142,3.7735848,15.513626,15.513627,0,matched (3)
Austin Presbyterian Theological Seminary,Austin,TX,78705-5711,30.29201,-97.736958,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,181,78705,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Austin Presbyterian Theological Seminary- YMCA Outdoor Center,Antioch,TN,37013-2791,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37013,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Austin's Beauty College Inc,Clarksville,TN,37040-1121,36.521386,-87.362846,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7917,7917,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.3333333333,25637.060606,NULL,NULL,NULL,37040,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Automeca Technical College-Aguadilla,Aguadilla,PR,00605,18.448502,-67.1418,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192,NULL,NULL,NULL,NULL,NULL,3625,5092,3136,NULL,NULL,10995,NULL,3000,2500,PrivacySuppressed,PrivacySuppressed,0.0518457072,0.0933222729,10918.22107,20418.05,20726,NULL,605,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Automeca Technical College-Bayamon,Bayamon,PR,00961,18.406325,-66.180088,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,348,NULL,NULL,NULL,NULL,NULL,4401,5814,6803,NULL,NULL,11204,NULL,3000,2500,PrivacySuppressed,PrivacySuppressed,0.0518457072,0.0933222729,10918.22107,20418.05,20726,NULL,961,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Automeca Technical College-Caguas,Caguas,PR,00725,18.230554,-66.037144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104,NULL,NULL,NULL,NULL,NULL,4454,4621,6834,10384,NULL,11329,NULL,3000,2500,PrivacySuppressed,PrivacySuppressed,0.0518457072,0.0933222729,10918.22107,20418.05,20726,NULL,725,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Automeca Technical College-Ponce,Ponce,PR,00731,18.011391,-66.636854,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,148,NULL,NULL,NULL,NULL,NULL,4844,4763,7991,10114,NULL,11234,NULL,3000,2500,PrivacySuppressed,PrivacySuppressed,0.0518457072,0.0933222729,10918.22107,NULL,20726,NULL,731,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Automotive Training Center-Exton,Exton,PA,19341-1310,40.058206,-75.643079,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,321,NULL,NULL,NULL,NULL,NULL,9733,10275,15645,16996,18213,NULL,NULL,15535,12000,13367,13000,0.0524861878,0.0497237569,42102.882597,73559.13,41567,NULL,19341,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Automotive Training Center-Warminster,Warminster,PA,18974,40.200656,-75.075375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,272,NULL,NULL,NULL,NULL,NULL,11226,14364,14441,13949,17332,NULL,NULL,15535,12000,13367,13000,0.0524861878,0.0497237569,42102.882597,NULL,41567,NULL,18974,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Autry Technology Center,Enid,OK,73703-2506,36.419122,-97.89719,0.5347,NULL,NULL,NULL,NULL,NULL,NULL,NULL,374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7379310345,0.2551724138,24943.496552,43527.99,33352,NULL,73703,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avalon Institute-Aurora,Aurora,CO,80014,39.676308,-104.848602,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,158,NULL,NULL,NULL,NULL,NULL,15697,16272,18925,NULL,NULL,NULL,NULL,6331,5606,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,41898.353535,77950.32,27204,NULL,80014,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avalon Institute-Layton,Layton,UT,84041,41.089919,-112.003639,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,206,NULL,NULL,NULL,NULL,NULL,16493,18707,19654,19811,NULL,NULL,NULL,7324,6285,6333,5819,0.956622773,0.1804802479,35576.540666,NULL,23844,NULL,84041,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avalon Institute-Mesa,Mesa,AZ,85210,33.376583,-111.858305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,340,NULL,NULL,NULL,NULL,NULL,15767,16394,18934,NULL,NULL,NULL,NULL,7324,6285,6333,5819,0.956622773,0.1804802479,35576.540666,66538.28,23844,NULL,85210,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avalon Institute-Phoenix,Phoenix,AZ,85022,33.641761,-112.068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,437,NULL,NULL,NULL,NULL,NULL,16362,17228,18553,19168,NULL,NULL,NULL,7324,6285,6333,5819,0.956622773,0.1804802479,35576.540666,NULL,23844,NULL,85022,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Avalon School of Cosmetology,Worthington,MN,56187,43.631842,-95.602503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,7835,7919,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,21673,NULL,23384,NULL,56187,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
