instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1,state,county,v_tier,v_ipeds_enrollment_2013,v_sticker_price_2013,v_sat_avg_2013,v_scorecard_netprice_2013,v_black_share_fall_2000,v_hisp_share_fall_2000,v_pct_arthuman_2000,v_pct_business_2000,v_pct_health_2000,v_pct_multidisci_2000,v_pct_publicsocial_2000,v_pct_stem_2000,v_pct_socialscience_2000,v_pct_tradepersonal_2000,_merge
ATA Career Education,Spring Hill,FL,34606,28.452699,-82.595376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,230,NULL,NULL,NULL,NULL,NULL,24196,25811,27184,NULL,NULL,29034,NULL,17645,14000,14578,13000,0.9415254237,0.1779661017,22343.249153,45494.53,27647,NULL,34606,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ATA College,Louisville,KY,40223,38.223667,-85.563365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,NULL,NULL,NULL,NULL,NULL,24812,24514,25872,28126,28387,28675,NULL,17645,14000,14578,13000,0.9415254237,0.1779661017,22343.249153,NULL,27647,NULL,40223,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ATA College,Tulsa,OK,74146,36.098554,-95.856621,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,NULL,NULL,NULL,NULL,6937,11459,9637,NULL,11109,NULL,NULL,17683,14750,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1875,37821.9375,NULL,43106,NULL,74146,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ATA College,El Cajon,CA,92020,32.819023,-116.981781,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,12734,12760,12779,NULL,NULL,NULL,NULL,6145,6145,PrivacySuppressed,PrivacySuppressed,0.6797752809,0.3146067416,16348.685393,PrivacySuppressed,26657,NULL,92020,,,,,matched (3),,,,,,,,,,,,,,,,,,master only (1)
ATA College-Cincinnati,Cincinnati,OH,45246,39.29671,-84.478867,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,231,NULL,NULL,NULL,NULL,NULL,29825,29463,29030,33420,NULL,33660,NULL,17645,14000,14578,13000,0.8933669186,0.2367758186,24390.543241,NULL,28711,NULL,45246,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
ATI College-Whittier,Whitter,CA,90603-0000,33.948364,-118.003687,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,25473,25473,NULL,NULL,NULL,NULL,0.6,17737,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8,PrivacySuppressed,31620.2,61267,33226,NULL,90603,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Aaniiih Nakoda College,Harlem,MT,59526,48.484196,-108.757816,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110,7192,8248,10112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12770,0.2069,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5054945055,PrivacySuppressed,17521.021978,34283.53,18507,NULL,59526,,,,,matched (3),,,,,,,,,,,,,,,,,,master only (1)
Abcott Institute,Southfield,MI,48075-5227,42.446331,-83.210617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8708,8366,PrivacySuppressed,PrivacySuppressed,0.928030303,0.0757575758,11655.583333,NULL,20534,NULL,48075,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Abilene Christian University,Abilene,TX,79699,32.468943,-99.709797,0.634,565,550,24,24,22,7,1150,3480,NULL,NULL,NULL,NULL,NULL,24400,24708,28897,27592,32006,51577,0.6598,24000,12000,15750,17000,0.6118200134,0.0127602418,81718.865682,67136.19,41565,1797,79699,1.75711,1.5681601,1.8752,1.64156,matched (3),TX,Taylor,6,3727,29450,1075,20836,.05766958,.05672418,10.785619,22.50333,5.0599203,9.7203732,8.7882824,11.318242,31.691078,.13315579,matched (3)
Abraham Baldwin Agricultural College,Tifton,GA,31793-2601,31.481889,-83.528281,0.7599,515,485,19,17,18,NULL,1000,3546,5064,5857,9086,11023,10923,NULL,NULL,NULL,NULL,NULL,13361,0.2915,17500,9500,8750,8750,0.5739705135,0.0630401627,49275.831215,46480.92,27009,NULL,31793,.98609,1.0874,1.23321,1.18671,matched (3),GA,Tift,7,3394,3394,925,7887,.15703422,.016730038,0,4.1002278,12.072893,47.152618,6.3781323,29.612757,0,.68337131,matched (3)
Abraham Lincoln University,Glendale,CA,91210,34.146294,-118.256726,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,196,91210,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academia Serrant Inc,Ponce,PR,00717-1250,18.009658,-66.61529,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,NULL,NULL,NULL,7845,5457,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5263975155,0.1055900621,7270.7701863,17474.2,16054,NULL,717,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy College,Bloomington,MN,55431-1411,44.855722,-93.299809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL,NULL,NULL,NULL,NULL,16272,18711,NULL,NULL,NULL,31816,NULL,28556,19621,PrivacySuppressed,PrivacySuppressed,0.298245614,PrivacySuppressed,39173.789474,68489.76,37666,NULL,55431,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy Di Capelli -,East Hartford,CT,06108-3839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9500,6333,6333,6222,NULL,NULL,NULL,NULL,NULL,NULL,6108,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy Di Capelli-School of Cosmetology,Wallingford,CT,06492,41.490402,-72.806335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,196,NULL,NULL,NULL,NULL,NULL,14001,15924,16552,17650,17650,NULL,NULL,9500,6333,6333,6222,0.6506024096,0.1204819277,25685.13253,NULL,NULL,NULL,6492,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy di Firenze,Jerome,ID,83338-2329,42.723871,-114.519826,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,11291,8636,11114,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,83338,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy for Careers and Technology,Mullins,SC,29574-6009,34.186433,-79.340157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,6797,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,18584.682927,NULL,40162,NULL,29574,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy for Five Element Acupuncture,Gainesville,FL,32601,29.650075,-82.321994,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,91,32601,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy for Jewish Religion-California,Los Angeles,CA,90024,34.070281,-118.438495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,90024,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy for Nursing and Health Occupations,West Palm Beach,FL,33417,26.70653,-80.121497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,702,NULL,NULL,NULL,NULL,NULL,29508,NULL,28558,NULL,NULL,NULL,NULL,16710,13685,PrivacySuppressed,PrivacySuppressed,0.9038461538,0.206043956,24874.173077,52504.57,34248,NULL,33417,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
Academy for Salon Professionals,Northridge,CA,91324,34.23396,-118.558215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,NULL,NULL,NULL,NULL,NULL,15191,19471,15374,19252,NULL,NULL,NULL,6333,6232,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1343283582,30780.880597,NULL,19370,NULL,91324,,,,,master only (1),,,,,,,,,,,,,,,,,,master only (1)
