instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,_merge
Thomas Aquinas College - New England,Northfield,MA,01360-1034,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18000,PrivacySuppressed,PrivacySuppressed,18000,NULL,NULL,NULL,NULL,NULL,NULL,1360,,,,,master only (1)
Thomas College,Waterville,ME,04901-5097,44.524909,-69.664734,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,757,NULL,NULL,NULL,NULL,NULL,19188,18791,20448,23227,26305,40911,0.5045,24250,17563,21000,20000,0.501712329,PrivacySuppressed,62022.37843,52667.44,30775,104,4901,1.5217299,1.0260201,1.5992301,1.03115,matched (3)
Thomas Edison State University,Trenton,NJ,8608,40.220487,-74.768562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12500,7178,8640,9152,0.502898057,0.42993522,44411.09683,68740.81,55659,919,8608,,,,,master only (1)
Thomas Jefferson School of Law,San Diego,CA,92101,32.717595,-117.157862,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,71238.54,NULL,247,92101,,,,,master only (1)
Thomas Jefferson University,Philadelphia,PA,19107,39.948274,-75.158266,0.6984,590,590,24,24,24,NULL,1179,3740,NULL,NULL,NULL,NULL,NULL,21413,22926,23635,25709,32470,60290,0.6965,22750,12500,14000,12500,0.774285714,0.077142857,58967.75238,66565.04,56267,4503,19107,1.80483,1.46158,1.84668,1.47955,matched (3)
Thomas More College of Liberal Arts,Merrimack,NH,3054,42.80683,-71.48437,0.8958,645,565,NULL,NULL,NULL,NULL,1210,80,NULL,NULL,NULL,NULL,NULL,9683,12883,14714,14163,12311,33111,0.7619,27000,PrivacySuppressed,PrivacySuppressed,20875,0.56097561,PrivacySuppressed,70300.7561,86364.38,35652,NULL,3054,,,,,master only (1)
Thomas More University,Crestview Hills,KY,41017-3495,39.022963,-84.568923,0.9191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1506,NULL,NULL,NULL,NULL,NULL,16692,18441,18690,21727,23197,42003,0.3949,26923,10250,12668,14584,0.479815456,0.096885813,70848.19839,64733.74,44902,145,41017,1.61947,1.26357,1.71206,1.32069,matched (3)
Thomas University,Thomasville,GA,31792,30.815576,-83.963587,0.3452,423,391,21,18,18,NULL,881,674,NULL,NULL,NULL,NULL,NULL,22322,23684,23901,7195,NULL,27354,0.4478,22250,15000,14853,13442,0.572490706,0.219330855,43897.4145,45124.61,38090,571,31792,1.1562099,,1.32315,,matched (3)
Three Rivers College,Poplar Bluff,MO,63901,36.776571,-90.429769,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2204,7662,8567,9750,12775,13208,NULL,NULL,NULL,NULL,NULL,15436,NULL,10500,8206,8250,5500,0.639071176,0.17617365,24881.97426,36416.13,25136,NULL,63901,1.2491699,0.55695999,1.39742,0.65272999,matched (3)
Three Rivers Community College,Norwich,CT,6360,41.509945,-72.103039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2933,5949,6415,7271,8338,11825,NULL,NULL,NULL,NULL,NULL,11935,NULL,10000,8400,5500,4661,0.595997837,0.126014062,26634.40725,65707.64,33935,NULL,6360,1.28449,1.1437,1.48725,1.20593,matched (3)
Three Rivers Community College - Corrigan-Radgowski Correctional Center,Uncasville,CT,06382-0638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,8400,5500,4661,NULL,NULL,NULL,NULL,33935,NULL,6382,,,,,master only (1)
