instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,_merge
A Better U Beauty Barber Academy,Albuquerque,NM,87110,35.11063,-106.583765,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,13388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87110,,,,,master only (1)
A T Still University of Health Sciences,Kirksville,MO,63501,40.193648,-92.589183,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,66836.27,NULL,3995,63501,,,,,master only (1)
ABC Adult School,Cerritos,CA,90703-2801,33.878179,-118.070114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,195,7377,NULL,5467,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90703,,,,,master only (1)
ABC Adult School - Cabrillo Lane,Cerritos,CA,90703-7748,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90703,,,,,master only (1)
ABC Beauty Academy,Richardson,TX,75081,32.931698,-96.685333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,2804,2785,2688,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,17179,NULL,75081,,,,,master only (1)
ABCO Technology,Inglewood,CA,90304-1551,33.932121,-118.369774,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,NULL,NULL,NULL,NULL,NULL,15346,16291,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.224489796,PrivacySuppressed,21244.73469,NULL,NULL,NULL,90304,,,,,master only (1)
AI Miami International University of Art and Design,Miami,FL,33132-1418,25.790008,-80.18839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,820,NULL,NULL,NULL,NULL,NULL,19746,18671,21299,23114,27094,27974,0.2519,29453,13831,16500,13250,0.571803853,0.106830123,32373.51138,57565.03,26984,60,33132,1.53531,,1.64407,,matched (3)
AMG School of Nursing,Brooklyn,NY,11201-1728,40.692794,-73.982035,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,258,NULL,NULL,NULL,NULL,NULL,37507,37507,NULL,NULL,NULL,NULL,NULL,14167,11834,PrivacySuppressed,PrivacySuppressed,0.866171004,0.215613383,28614.54647,NULL,NULL,NULL,11201,,,,,master only (1)
AOMA Graduate School of Integrative Medicine,Austin,TX,78745,30.228551,-97.800643,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,78343.77,NULL,135,78745,,,,,master only (1)
ASA College,Brooklyn,NY,11201-9805,40.691464,-73.986076,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2961,NULL,NULL,NULL,NULL,NULL,25743,26265,28294,31185,31648,32791,0.2869,15512,9500,9500,9500,0.627422034,0.225133789,16961.67872,42531.54,26837,NULL,11201,0.83421999,,0.92905003,,matched (3)
ASI Career Institute,Turnersville,NJ,08012-1043,39.756604,-75.045442,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL,NULL,10626,11181,10183,NULL,NULL,NULL,NULL,PrivacySuppressed,6333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.144067797,23493.16949,NULL,NULL,NULL,8012,,,,,master only (1)
ASPIRA City College,Philadelphia,PA,19140-2302,40.017493,-75.135042,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,11862,NULL,NULL,NULL,NULL,16307,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.547169811,PrivacySuppressed,13326.5283,36313.09,26012,NULL,19140,,,,,master only (1)
ATA Career Education,Spring Hill,FL,34606,28.452699,-82.595376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,230,NULL,NULL,NULL,NULL,NULL,24196,25811,27184,NULL,NULL,29034,NULL,17645,14000,14578,13000,0.941525424,0.177966102,22343.24915,45494.53,27647,NULL,34606,,,,,master only (1)
ATA College,Louisville,KY,40223,38.223667,-85.563365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,NULL,NULL,NULL,NULL,NULL,24812,24514,25872,28126,28387,28675,NULL,17645,14000,14578,13000,0.941525424,0.177966102,22343.24915,NULL,27647,NULL,40223,,,,,master only (1)
ATA College,Tulsa,OK,74146,36.098554,-95.856621,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,NULL,NULL,NULL,NULL,6937,11459,9637,NULL,11109,NULL,NULL,17683,14750,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1875,37821.9375,NULL,43106,NULL,74146,,,,,master only (1)
ATA College,El Cajon,CA,92020,32.819023,-116.981781,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,12734,12760,12779,NULL,NULL,NULL,NULL,6145,6145,PrivacySuppressed,PrivacySuppressed,0.679775281,0.314606742,16348.68539,PrivacySuppressed,26657,NULL,92020,,,,,matched (3)
ATA College-Cincinnati,Cincinnati,OH,45246,39.29671,-84.478867,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,231,NULL,NULL,NULL,NULL,NULL,29825,29463,29030,33420,NULL,33660,NULL,17645,14000,14578,13000,0.893366919,0.236775819,24390.54324,NULL,28711,NULL,45246,,,,,master only (1)
ATI College-Whittier,Whitter,CA,90603-0000,33.948364,-118.003687,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,25473,25473,NULL,NULL,NULL,NULL,0.6,17737,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8,PrivacySuppressed,31620.2,61267,33226,NULL,90603,,,,,master only (1)
Aaniiih Nakoda College,Harlem,MT,59526,48.484196,-108.757816,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110,7192,8248,10112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12770,0.2069,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.505494506,PrivacySuppressed,17521.02198,34283.53,18507,NULL,59526,,,,,matched (3)
Abcott Institute,Southfield,MI,48075-5227,42.446331,-83.210617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8708,8366,PrivacySuppressed,PrivacySuppressed,0.928030303,0.075757576,11655.58333,NULL,20534,NULL,48075,,,,,master only (1)
Abilene Christian University,Abilene,TX,79699,32.468943,-99.709797,0.634,565,550,24,24,22,7,1150,3480,NULL,NULL,NULL,NULL,NULL,24400,24708,28897,27592,32006,51577,0.6598,24000,12000,15750,17000,0.611820013,0.012760242,81718.86568,67136.19,41565,1797,79699,1.75711,1.5681601,1.8752,1.64156,matched (3)
Abraham Baldwin Agricultural College,Tifton,GA,31793-2601,31.481889,-83.528281,0.7599,515,485,19,17,18,NULL,1000,3546,5064,5857,9086,11023,10923,NULL,NULL,NULL,NULL,NULL,13361,0.2915,17500,9500,8750,8750,0.573970514,0.063040163,49275.83122,46480.92,27009,NULL,31793,0.98609,1.0874,1.23321,1.18671,matched (3)
Abraham Lincoln University,Glendale,CA,91210,34.146294,-118.256726,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,196,91210,,,,,master only (1)
Academia Serrant Inc,Ponce,PR,00717-1250,18.009658,-66.61529,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,NULL,NULL,NULL,NULL,7845,5457,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.526397516,0.105590062,7270.770186,17474.2,16054,NULL,717,,,,,master only (1)
Academy College,Bloomington,MN,55431-1411,44.855722,-93.299809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL,NULL,NULL,NULL,NULL,16272,18711,NULL,NULL,NULL,31816,NULL,28556,19621,PrivacySuppressed,PrivacySuppressed,0.298245614,PrivacySuppressed,39173.78947,68489.76,37666,NULL,55431,,,,,master only (1)
Academy Di Capelli -,East Hartford,CT,06108-3839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9500,6333,6333,6222,NULL,NULL,NULL,NULL,NULL,NULL,6108,,,,,master only (1)
Academy Di Capelli-School of Cosmetology,Wallingford,CT,6492,41.490402,-72.806335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,196,NULL,NULL,NULL,NULL,NULL,14001,15924,16552,17650,17650,NULL,NULL,9500,6333,6333,6222,0.65060241,0.120481928,25685.13253,NULL,NULL,NULL,6492,,,,,master only (1)
Academy di Firenze,Jerome,ID,83338-2329,42.723871,-114.519826,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,11291,8636,11114,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,83338,,,,,master only (1)
Academy for Careers and Technology,Mullins,SC,29574-6009,34.186433,-79.340157,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,6797,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,18584.68293,NULL,40162,NULL,29574,,,,,master only (1)
Academy for Five Element Acupuncture,Gainesville,FL,32601,29.650075,-82.321994,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,91,32601,,,,,master only (1)
Academy for Jewish Religion-California,Los Angeles,CA,90024,34.070281,-118.438495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,90024,,,,,master only (1)
Academy for Nursing and Health Occupations,West Palm Beach,FL,33417,26.70653,-80.121497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,702,NULL,NULL,NULL,NULL,NULL,29508,NULL,28558,NULL,NULL,NULL,NULL,16710,13685,PrivacySuppressed,PrivacySuppressed,0.903846154,0.206043956,24874.17308,52504.57,34248,NULL,33417,,,,,master only (1)
Academy for Salon Professionals,Northridge,CA,91324,34.23396,-118.558215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,NULL,NULL,NULL,NULL,NULL,15191,19471,15374,19252,NULL,NULL,NULL,6333,6232,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.134328358,30780.8806,NULL,19370,NULL,91324,,,,,master only (1)
Academy of Art University,San Francisco,CA,94105,37.787943,-122.400578,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6024,NULL,NULL,NULL,NULL,NULL,33484,32975,34695,40983,40682,43976,0.4688,31000,11000,11750,12990,0.573198198,0.14527027,37907.31622,74015.06,30780,2804,94105,,,,,master only (1)
Academy of Beauty Professionals,Madison,WI,53719,43.05541,-89.490781,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,22697,23746,23746,NULL,NULL,NULL,NULL,7917,7917,7917,4584,0.958064516,0.203225807,30891.42903,NULL,19940,NULL,53719,,,,,master only (1)
Academy of Beauty Professionals,Green Bay,WI,54303-4838,44.52349,-88.097926,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL,NULL,20962,NULL,NULL,NULL,NULL,NULL,NULL,7917,7917,7917,4584,0.958064516,0.203225807,30891.42903,NULL,19940,NULL,54303,,,,,master only (1)
Academy of Beauty Professionals,Appleton,WI,54914-5780,44.266271,-88.461527,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,17827,22234,24942,NULL,NULL,NULL,NULL,7917,7917,7917,4584,0.958064516,0.203225807,30891.42903,NULL,19940,NULL,54914,,,,,master only (1)
Academy of Career Training,Kissimmee,FL,34741,28.306092,-81.439569,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,NULL,NULL,NULL,NULL,NULL,7255,NULL,NULL,NULL,NULL,NULL,NULL,6092,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.627659575,0.207446809,16613.95213,NULL,22575,NULL,34741,,,,,master only (1)
Academy of Careers and Technology,Beckley,WV,25801,37.795299,-81.165435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,180,4094,4542,5075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.697183099,0.218309859,20926.98592,38938.41,24678,NULL,25801,,,,,master only (1)
Academy of Chinese Culture and Health Sciences,Oakland,CA,94612,37.805972,-122.269839,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,97,94612,,,,,master only (1)
Academy of Cosmetology,Merritt Island,FL,32953,28.394053,-80.70372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113,NULL,NULL,NULL,NULL,NULL,18020,22156,20211,NULL,NULL,NULL,NULL,6333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.903225807,0.220430108,14579.10215,56984.21,20198,NULL,32953,,,,,master only (1)
Academy of Cosmetology Inc,Bozeman,MT,59715-3544,45.680544,-111.039848,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL,NULL,12109,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,44823.63333,49491.2,24452,NULL,59715,,,,,master only (1)
Academy of Cosmetology and Esthetics NYC,Staten Island,NY,10306,40.573227,-74.114517,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,15350,17300,NULL,NULL,NULL,NULL,NULL,5500,5500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.098684211,40646.06579,NULL,20328,NULL,10306,,,,,master only (1)
Academy of Esthetics and Cosmetology,San Fernando,CA,91340-3212,34.285043,-118.444228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,12203,NULL,NULL,NULL,NULL,NULL,NULL,5117,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.659090909,PrivacySuppressed,24578.34091,NULL,21616,NULL,91340,,,,,master only (1)
Academy of Hair Design - Austin,Austin,TX,78741-1338,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9833,7917,9086,6278,0.6,0.223728814,27502.57966,NULL,21365,NULL,78741,,,,,master only (1)
Academy of Hair Design-Grenada,Grenada,MS,38901,33.775198,-89.825313,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL,NULL,17067,NULL,NULL,NULL,NULL,NULL,NULL,6500,6500,PrivacySuppressed,PrivacySuppressed,0.593220339,0.101694915,17380.28814,41615.06,18186,NULL,38901,,,,,master only (1)
Academy of Hair Design-Jackson,Jackson,MS,39211,32.376376,-90.147044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,16560,NULL,NULL,NULL,NULL,NULL,NULL,6500,6500,PrivacySuppressed,PrivacySuppressed,0.593220339,0.101694915,17380.28814,41615.06,18186,NULL,39211,,,,,master only (1)
Academy of Hair Design-Jasper,Jasper,TX,75951,30.908648,-94.004879,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL,7217,8769,NULL,NULL,NULL,NULL,NULL,16500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.925714286,0.234285714,18045.62286,42634.45,15734,NULL,75951,,,,,master only (1)
Academy of Hair Design-Las Vegas,Las Vegas,NV,89146,36.15846,-115.210473,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,182,NULL,NULL,NULL,NULL,NULL,16717,21005,NULL,NULL,NULL,NULL,NULL,8539,6211,8693,8382,0.916216216,0.191891892,33011.74054,70764.57,24370,NULL,89146,,,,,master only (1)
Academy of Hair Design-Lufkin,Lufkin,TX,75904,31.330724,-94.718704,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,6729,7057,NULL,NULL,NULL,NULL,NULL,16500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.925714286,0.234285714,18045.62286,42634.45,15734,NULL,75904,,,,,master only (1)
Academy of Hair Design-Oklahoma City,Oklahoma City,OK,73134-8055,35.612955,-97.557189,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,NULL,NULL,NULL,NULL,NULL,13928,NULL,13806,NULL,NULL,NULL,NULL,16500,12695,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.191919192,30053.19192,NULL,18022,NULL,73134,,,,,master only (1)
Academy of Hair Design-Pearl,Pearl,MS,39208,32.281983,-90.115129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,16740,NULL,NULL,NULL,NULL,NULL,NULL,6500,6500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.163934426,29996.73771,52038.01,16386,NULL,39208,,,,,master only (1)
Academy of Hair Design-Springfield,Springfield,MO,65804,37.180584,-93.261354,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,260,NULL,NULL,NULL,NULL,NULL,14974,15138,16263,18643,18643,NULL,NULL,9833,7917,9086,6278,0.6,0.223728814,27502.57966,NULL,21365,NULL,65804,,,,,master only (1)
Academy of Hair Technology,Greenville,SC,29615-2363,34.874681,-82.327426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL,7202,5977,9127,NULL,NULL,NULL,NULL,3666,3333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.252252252,24551.97297,56439.13,20588,NULL,29615,,,,,master only (1)
Academy of Interactive Entertainment,Lafayette,LA,70506-4293,30.220037,-92.043315,0.9135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112,NULL,NULL,NULL,NULL,NULL,22721,25777,25316,26066,28655,31459,NULL,12000,10750,PrivacySuppressed,PrivacySuppressed,0.202380952,PrivacySuppressed,46295.55952,NULL,NULL,NULL,70506,,,,,master only (1)
Academy of Interactive Entertainment,Seattle,WA,98109-4623,47.621224,-122.351158,0.9167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,135,NULL,NULL,NULL,NULL,NULL,28953,25785,26935,32196,32880,32880,NULL,12000,12000,12000,11000,0.346534654,PrivacySuppressed,54371.74257,NULL,NULL,NULL,98109,,,,,master only (1)
Academy of Massage and Bodywork,Bear,DE,19701,39.628779,-75.666786,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6333,6333,PrivacySuppressed,PrivacySuppressed,0.869230769,0.161538462,35230.41539,NULL,21037,NULL,19701,,,,,master only (1)
Academy of Natural Therapy Inc,Greeley,CO,80631-9441,40.426259,-104.691075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7917,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.816901409,0.225352113,28741.12676,NULL,24559,NULL,80631,,,,,master only (1)
Academy of Professional Cosmetology,Rogers,AR,72756-2028,36.35541,-94.157411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,NULL,NULL,NULL,NULL,NULL,11859,NULL,NULL,NULL,NULL,NULL,NULL,6211,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.277777778,21930.62963,NULL,NULL,NULL,72756,,,,,master only (1)
Academy of Salon Professionals,Sedalia,MO,65301,38.690729,-93.251559,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL,NULL,NULL,NULL,11606,NULL,NULL,NULL,NULL,NULL,NULL,9833,8927,PrivacySuppressed,PrivacySuppressed,0.828571429,0.271428571,26523.57143,NULL,NULL,NULL,65301,,,,,master only (1)
Academy of Salon and Spa,Fort Smith,AR,72901,35.38097,-94.41616,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,14649,16848,17430,18779,NULL,NULL,NULL,6333,4750,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.282051282,22261.54701,43968.6,15986,NULL,72901,,,,,master only (1)
Academy of Vocal Arts,Philadelphia,PA,19103-6685,39.94796,-75.173735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,24,19103,,,,,master only (1)
Acaydia School of Aesthetics,Provo,UT,84601-0000,40.234627,-111.65823,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,133,NULL,NULL,NULL,NULL,NULL,14824,16378,18497,18529,20266,NULL,NULL,PrivacySuppressed,7667,7667,7667,PrivacySuppressed,0.442622951,30622.29508,NULL,NULL,NULL,84601,,,,,master only (1)
Access Careers,Hempstead,NY,11550-0000,40.709502,-73.61531,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6099,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.133333333,19552,NULL,NULL,NULL,11550,,,,,master only (1)
Access Careers-Islandia,Islandia,NY,11749-1599,40.800874,-73.175617,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6099,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,11749,,,,,master only (1)
Ace Cosmetology and Barber Training Center,Waterbury,CT,6705,41.593956,-72.987416,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,NULL,NULL,NULL,NULL,NULL,16671,NULL,NULL,NULL,NULL,NULL,NULL,10000,9500,PrivacySuppressed,PrivacySuppressed,0.317460318,PrivacySuppressed,13406.88889,NULL,NULL,NULL,6705,,,,,master only (1)
Ace Institute of Technology,New York,NY,10018,40.753658,-73.993385,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,NULL,NULL,NULL,NULL,NULL,28192,28847,29998,NULL,NULL,NULL,NULL,5575,5032,PrivacySuppressed,PrivacySuppressed,0.527210884,0.163265306,20541.65986,NULL,NULL,NULL,10018,,,,,master only (1)
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,94704,37.862754,-122.267636,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,99,94704,,,,,master only (1)
Acupuncture and Massage College,Miami,FL,33176,25.686382,-80.364141,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,NULL,NULL,NULL,NULL,NULL,30560,31054,NULL,NULL,NULL,33552,0.7692,7600,7600,PrivacySuppressed,PrivacySuppressed,0.606382979,0.191489362,23976.7766,62657.86,20452,130,33176,,,,,master only (1)
Adams State University,Alamosa,CO,81101,37.473636,-105.879642,0.9988,500,490,20,19,19,NULL,1004,1612,9864,10301,13688,18159,19693,NULL,NULL,NULL,NULL,NULL,22317,0.3214,21500,12500,9970,12000,0.489082969,0.073362445,48770.02009,50726.71,32729,1262,81101,1.40342,0.91826999,1.54843,1.09346,matched (3)
Adelphi University,Garden City,NY,11530-0701,40.721439,-73.653321,0.7461,575,580,24,24,24,8,1162,5076,NULL,NULL,NULL,NULL,NULL,26732,26637,29510,30789,33219,53535,0.7258,25000,20500,21500,19086,0.721112077,0.042137272,77136.4066,80864.95,56611,2460,11530,1.8583699,1.45375,1.89426,1.5367,matched (3)
Adler Graduate School,Minnetonka,MN,55343,44.893479,-93.410236,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,267,55343,,,,,master only (1)
Adler University,Chicago,IL,60602,41.882414,-87.629156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,1726,60602,,,,,master only (1)
